datetime,ticker,open,high,low,close,volume
2015-12-07 14:31:00,AFLT,57.83,58.01,57.8,57.8,10100
2015-12-07 14:32:00,AFLT,57.78,57.78,57.74,57.74,1400
2015-12-07 14:33:00,AFLT,57.78,57.78,57.78,57.78,200
2015-12-07 14:34:00,AFLT,57.78,57.78,57.78,57.78,0
2015-12-07 14:35:00,AFLT,57.78,57.78,57.75,57.78,8800
2015-12-07 14:36:00,AFLT,57.7,57.7,57.5,57.5,40200
2015-12-07 14:37:00,AFLT,57.62,57.7,57.21,57.43,102300
2015-12-07 14:38:00,AFLT,57.5,57.5,57.5,57.5,7000
2015-12-07 14:39:00,AFLT,57.92,57.92,57.59,57.66,3000
2015-12-07 14:40:00,AFLT,57.66,57.66,57.66,57.66,4000
2015-12-07 14:41:00,AFLT,57.62,57.69,57.62,57.69,3400
2015-12-07 14:42:00,AFLT,57.69,57.69,57.65,57.65,5000
2015-12-07 14:43:00,AFLT,57.65,57.65,57.65,57.65,200
2015-12-07 14:44:00,AFLT,57.65,57.65,57.65,57.65,2600
2015-12-07 14:45:00,AFLT,57.65,57.65,57.65,57.65,3900
2015-12-07 14:46:00,AFLT,57.61,57.65,57.61,57.65,5200
2015-12-07 14:47:00,AFLT,57.66,57.72,57.66,57.7,24500
2015-12-07 14:48:00,AFLT,57.66,57.96,57.66,57.7,36100
2015-12-07 14:49:00,AFLT,57.66,57.74,57.38,57.65,69700
2015-12-07 14:50:00,AFLT,57.58,57.58,57.54,57.54,12200
2015-12-07 14:51:00,AFLT,57.54,57.54,57.54,57.54,0
2015-12-07 14:52:00,AFLT,57.52,57.58,57.51,57.53,13100
2015-12-07 14:53:00,AFLT,57.55,57.55,57.55,57.55,100
2015-12-07 14:54:00,AFLT,57.57,57.59,57.57,57.59,1400
2015-12-07 14:55:00,AFLT,57.59,57.59,57.58,57.59,6600
2015-12-07 14:56:00,AFLT,57.6,57.6,57.55,57.55,200
2015-12-07 14:57:00,AFLT,57.63,57.63,57.63,57.63,200
2015-12-07 14:58:00,AFLT,57.63,57.64,57.63,57.64,4000
2015-12-07 14:59:00,AFLT,57.64,57.68,57.51,57.66,90000
2015-12-07 15:00:00,AFLT,57.69,57.69,57.68,57.68,5200
2015-12-07 15:01:00,AFLT,57.69,57.7,57.69,57.7,1000
2015-12-07 15:02:00,AFLT,57.7,57.81,57.7,57.81,24400
2015-12-07 15:03:00,AFLT,57.79,57.94,57.78,57.79,38800
2015-12-07 15:04:00,AFLT,57.78,57.78,57.78,57.78,2100
2015-12-07 15:05:00,AFLT,57.8,57.8,57.78,57.78,1300
2015-12-07 15:06:00,AFLT,57.78,57.78,57.78,57.78,3100
2015-12-07 15:07:00,AFLT,57.78,57.82,57.76,57.82,12900
2015-12-07 15:08:00,AFLT,57.83,57.83,57.83,57.83,3200
2015-12-07 15:09:00,AFLT,57.76,57.76,57.76,57.76,200
